textName,ISBN,edition,url
Current & Emerging Computing Technology,978-1-77420-191,First Edition,https://opentextbc.ca/comptech/
Introduction to Web Accessibility,978-0201633610,First Editon,https://pressbooks.library.torontomu.ca/iwacc/
Web Accessibility for Developers, 978-0321125217,Third Edition,https://pressbooks.library.torontomu.ca/wafd/
Design Patterns: Elements of Reusable Object-Oriented Software,978-0201633610,First Edition, tba
UML Distilled: A Brief Guide to the Standard Object-Modeling Language, 978-0321193681,Third Edition,
Domain Driven Design: Tackling Complexity in The Heart of Software, 978-0321125217,First Edition,
Clean Architecture: A Craftsman's Guide to Software Structure and Design Paperback, 978-0134494166,First Edition, 
