bookTitle,ISBN,date,bookAuthor,bookPublisher
Design Patterns: Elements of Reusable Object-Oriented Software,978-0201633610, 1994-10-31,Erich Gamma; Richard Helm; Ralph Johnson and John Vlissides,Addison-Wesley
UML Distilled: A Brief Guide to the Standard Object-Modeling Language, 978-0321193681, 2003-09-15, Martin Fowler, Addison-Wesley
Domain Driven Design: Tackling Complexity in The Heart of Software, 978-0321125217, 2003-08-22, Eric Evans, Addison-Wesley
Clean Architecture: A Craftsman's Guide to Software Structure and Design Paperback, 978-0134494166, 2017-09-10, Robert Martin, Pearson
